Crop,AgroEcological Zone,Additional information,Early Sowing,,Later Sowing,,All year,Sowing rate,,Growing period,,Early harvest,,Late harvest,,AgroEcological Zone Description,AgroEcological Zone Practices,AgroEcological Zone Units,Comments En,Comments ES,Comments FR,Comments ZH,Comments AR,Comments RU
Jew's Mallow,Middle Highlands,"From heavy to light, fertile with good drainage and aeration, irrigated, productivity 1.5-3, CWR (m3 water/du.) =171,",1,5,1,7,no,50,kg/ha,50,Days,30,6,20,8,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","From heavy to light, fertile with good drainage and aeration, irrigated, productivity 1.5-3, CWR (m3 water/du.) =171. Open field ",,,,,
Lettuce,Middle Highlands,"Sandy to heavy land, with good drainage and aeration,irrigated, productivity 5, 150 CWR",10,1,30,10,no,100000,plantsha,,Days,10,3,29,12,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","Sandy to heavy land, with good drainage and aeration,irrigated, productivity 5, 150 CWR. Open field ",,,,,
Lettuce,Middle Highlands,"Sandy to heavy land, with good drainage and aeration, irrigated, productivity 3.5, 25 -50 CWR",10,1,10,5,no,75000-80000,plantsha,51,Days,1,2,30,6,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","Sandy to heavy land, with good drainage and aeration, irrigated, productivity 3.5, 25 -50 CWR. Open field ",,,,,
Lettuce,Middle Highlands,"Sandy to heavy land, with good drainage and aeration,irrigated, productivity 5, 150 CWR",10,1,30,10,no,100000,plantsha,,Days,10,3,29,12,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","Sandy to heavy land, with good drainage and aeration,irrigated, productivity 5, 150 CWR. Open field ",,,,,
Spinach,Middle Highlands,"All types of soil with good drainage, irrigated, productivity 2-3",5,2,1,4,no,200000,plantsha,55,Days,5,4,26,5,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","All types of soil with good drainage, irrigated, productivity 2-3. Open field",,,,,
Parsley,Middle Highlands,"All types of soil with good drainage, irrigated, productivity 1-2",5,2,1,4,no,200000,plantsha,45,Days,26,3,16,5,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","All types of soil with good drainage, irrigated, productivity 1-2. Open field",,,,,
Tomato,Southern Highlands,"clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 10 ton for protected and 6 ton for open field, 600 CWR",1,7,1,11,no,24000-26000,plantsha,60,Days,1,9,1,4,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 10 ton for protected and 6 ton for open field, 600 CWR. Protected",,,,,
Tomato,Southern Highlands,"clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 10 ton for protected and 6 ton for open field, 600 CWR",1,3,1,7,no,24000-26000,plantsha,60,Days,1,5,1,12,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 10 ton for protected and 6 ton for open field, 600 CWR. Open field ",,,,,
Cucumber,Southern Highlands,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 300 kg org. fert., 6 ton in protected agric., 500 CWR",1,7,1,8,no,20000,plantsha,60,Days,1,9,1,11,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 300 kg org. fert., 6 ton in protected agric., 500 CWR. Protected",,,,,
Cucumber,Southern Highlands,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 300 kg org. fert., 6 ton in protected agric., 500 CWR",1,2,1,3,no,20000,plantsha,90,Days,1,5,1,7,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 7 ton for protected + 5 ton for open field, 750-1000 CWR. Protected",,,,,
Sweet pepper,Southern Highlands,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 7 ton for protected + 5 ton for open field, 750-1000 CWR",1,2,1,3,no,25000,plantsha,60,Days,1,4,1,7,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 7 ton for protected + 5 ton for open field, 750-1000 CWR. Protected",,,,,
Sweet pepper,Southern Highlands,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 7 ton for protected + 5 ton for open field, 750-1000 CWR",1,7,1,8,no,25000,plantsha,60,Days,1,9,1,12,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 7 ton for protected + 5 ton for open field, 750-1000 CWR. Protected",,,,,
Watermelon,Southern Highlands,"yelow soil, irrigated, 200 kg chem. Fert. + 600 org. fert., 6 ton in open field, CWR (m3 water/du.) =370",1,2,1,3,no,10000,plantsha,90,Days,1,5,1,6,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","yelow soil, irrigated, 200 kg chem. Fert. + 600 org. fert., 6 ton in open field, CWR (m3 water/du.) =370. Open field",,,,,
Watermelon,Southern Highlands,"yelow soil, irrigated, 200 kg chem. Fert. + 600 org. fert., 6 ton in open field, CWR (m3 water/du.) =370",1,7,1,8,no,10000,plantsha,60,Days,1,9,1,11,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","yelow soil, irrigated, 200 kg chem. Fert. + 600 org. fert., 6 ton in open field, CWR (m3 water/du.) =370. Open field",,,,,
Melon,Southern Highlands,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 5 ton in open field, CWR (m3 water/du.) =370",1,2,1,3,no,15000,plantsha,90,Days,1,5,1,6,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 5 ton in open field, CWR (m3 water/du.) =370. Open field",,,,,
Melon,Southern Highlands,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 5 ton in open field, CWR (m3 water/du.) =370",1,7,1,8,no,15000,plantsha,60,Days,1,9,1,11,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 5 ton in open field, CWR (m3 water/du.) =370. Open field",,,,,
Pumpkin,Southern Highlands,"fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , 450 CWR",1,2,1,5,no,12000,seedlings/ha,30,Days,1,3,1,9,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , 450 CWR. Open field ",,,,,
Pumpkin,Southern Highlands,"fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , 450 CWR",1,7,1,10,no,12000,seedlings/ha,60,Days,1,9,1,12,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , 450 CWR. Open field ",,,,,
Cauliflower,Southern Highlands,"From heavy to light, fertile with good drainage and aeration, irrigated, 150 kg chem. + 300 kg org. fert., 2.5 in open field, 650 CWR",1,3,1,9,no,50000,seedlings/ha,30,Days,1,4,1,10,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","From heavy to light, fertile with good drainage and aeration, irrigated, 150 kg chem. + 300 kg org. fert., 2.5 in open field, 650 CWR. Open field ",,,,,
"Cabbage, common",Southern Highlands,"sandy clay soil, irrigated, 151 kg chem. + 300 kg org. fert., 3 ton in open field, 650 CWR",1,11,1,6,no,50000,seedlings/ha,100,Days,1,6,1,1,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","sandy clay soil, irrigated, 151 kg chem. + 300 kg org. fert., 3 ton in open field, 650 CWR. Open field ",,,,,
Okra,Southern Highlands,"From heavy to light, fertile with good drainage and aeration, irrigated, productivity 0.5-0.7",1,4,1,5,no,5000-7500,gr/ha,60,Days,1,7,1,11,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","From heavy to light, fertile with good drainage and aeration, irrigated, productivity 0.5-0.7. Open field",,,,,
Lettuce,Southern Highlands,"Sandy to heavy land, with good drainage and aeration, irrigated, productivity 3.5, 150 CWR",1,9,1,11,no,100000,plantsha,60,Days,1,11,1,4,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","Sandy to heavy land, with good drainage and aeration, irrigated, productivity 3.5, 150 CWR. Open field",,,,,
Spinach,Southern Highlands,"All types of soil with good drainage, irrigated, productivity 2-3",1,10,1,11,no,200000,plantsha,30,Days,1,11,1,1,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","All types of soil with good drainage, irrigated, productivity 2-3. Open field",,,,,
Apple,Northern Highlands,"prefer deep soil with medium soil texture, irrigate",1,12,1,3,no,400-800,seedlings/ha,,,15,6,30,11,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan","prefer deep soil with medium soil texture, irrigate",,,,,
Pear,Northern Highlands,"sandy clay soil, irrigated, 500 kg org. fert.",1,12,1,2,no,400,seedlings/ha,,,1,6,1,7,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan","pruning start at jan. , trees start fruting after 3 years. sandy clay soil, irrigated, 500 kg org. fert.",,,,,
Almond,Northern Highlands,"sandy clay soil, irrigated",1,12,1,3,no,480,seedlings/ha,,,1,7,1,10,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan","trees start fruiting after 5 years. sandy clay soil, irrigated",,,,,
Peach,Northern Highlands,"sandy clay soil, irrigated, 600 kg org. fert.",1,12,1,2,no,400-1200,seedlings/ha,,,1,6,1,9,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan","pruning start at jan, trees start fruiting after 3 years. sandy clay soil, irrigated, 600 kg org. fert.",,,,,
Apricot,Northern Highlands,"sandy clay soil, irrigated, 500 kg org. fert.",1,12,1,2,no,200-250,seedlings/ha,,,1,5,1,6,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan","pruning start at jan, trees start fruiting after 3 years. sandy clay soil, irrigated, 500 kg org. fert.",,,,,
Cherry (all varieties),Northern Highlands,"good drained soil, irrigated, 2-3 kg org. ferti. + 10 kg K+ 7 kg P",1,3,30,11,no,250-300,seedlings/ha,,,1,5,1,7,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan","trees start fruiting after 3 years. good drained soil, irrigated, 2-3 kg org. ferti. + 10 kg K+ 7 kg P",,,,,
Fig,Northern Highlands,irrigated,,,,,yes,200-250,seedlings/ha,,,1,8,15,10,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan","pruning start at jan.+feb., start fruiting after 3-6 years after plantaton ( 3 years with good management). irrigated",,,,,
Pomegranate,Northern Highlands,"sandy clay soil, irrigated, 600 kg org. fert.",1,12,1,2,no,400-850,seedlings/ha,,,15,9,30,10,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan","pruning start at jan.+feb.,start fruiting after 3 years from plantation with good management. sandy clay soil, irrigated, 600 kg org. fert.",,,,,
Grape,Northern Highlands,"sandy clay soil, irrigated, 600 kg org. fert.",1,12,1,2,no,1100-2500,seedlings/ha,,,1,6,1,9,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan","start fruiting after 1.5 years from plantation. sandy clay soil, irrigated, 600 kg org. fert.",,,,,
Guava,Northern Highlands,"good drained soil, irrigated, 2-3 ton/donum org. fert",1,1,28,2,no,250-300,seedlings/ha,,,30,8,30,10,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan","evergreen trees. good drained soil, irrigated, 2-3 ton/donum org. fert",,,,,
Date Palm,Northern Highlands,"Sandy soil, shouldn't be Alkaline Soil , irrigated, fertilizers added in two time of cropping cycle, after fruiting, and before flowering (N=1Kg/year, P=250-300 Kg/year, K=750 Kg/year), Yield = 3-4 ton/du, 501 CWR",,,,,yes,100-200,seedlings/ha,,,1,8,1,11,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan","start fruiting after 4 years from plantation. Sandy soil, shouldn't be Alkaline Soil , irrigated, fertilizers added in two time of cropping cycle, after fruiting, and before flowering (N=1Kg/year, P=250-300 Kg/year, K=750 Kg/year), Yield = 3-4 ton/du, 501 CWR",,,,,
